file_path,line_number,category,matched_text,token_name,fallback_value
src/app/components/AccordionDocumentation.css,1,e,var(--cvp-space-5),--cvp-space-5,
src/app/components/AccordionDocumentation.css,1,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/AccordionDocumentation.css,2,e,var(--cvp-space-3),--cvp-space-3,
src/app/components/AccordionDocumentation.css,2,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/AccordionDocumentation.css,2,e,var(--cvp-font-size-xs),--cvp-font-size-xs,
src/app/components/AccordionDocumentation.css,2,e,var(--cvp-color-text-primary),--cvp-color-text-primary,
src/app/components/AccordionDocumentation.css,2,e,var(--cvp-font-weight-medium),--cvp-font-weight-medium,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-space-4),--cvp-space-4,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-space-4),--cvp-space-4,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-color-surface-page),--cvp-color-surface-page,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-border-base),--cvp-border-base,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-radius-lg),--cvp-radius-lg,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-space-3),--cvp-space-3,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-color-text-muted),--cvp-color-text-muted,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-font-size-xs),--cvp-font-size-xs,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-font-weight-semibold),--cvp-font-weight-semibold,
src/app/components/AccordionDocumentation.css,3,e,var(--cvp-letter-spacing-wide),--cvp-letter-spacing-wide,
src/app/components/AccordionDocumentation.tsx,9,a,--cvp-accordion-bg,,
src/app/components/AccordionDocumentation.tsx,9,a,--cvp-color-surface-default,,
src/app/components/AccordionDocumentation.tsx,10,a,--cvp-accordion-border,,
src/app/components/AccordionDocumentation.tsx,10,a,--cvp-color-border-default,,
src/app/components/AccordionDocumentation.tsx,11,a,--cvp-accordion-trigger-text,,
src/app/components/AccordionDocumentation.tsx,11,a,--cvp-color-text-secondary,,
src/app/components/AccordionDocumentation.tsx,12,a,--cvp-accordion-trigger-bg-active,,
src/app/components/AccordionDocumentation.tsx,12,a,--cvp-color-surface-subtle,,
src/app/components/AccordionDocumentation.tsx,13,a,--cvp-accordion-focus-ring,,
src/app/components/AccordionDocumentation.tsx,13,a,--cvp-focus-border-color,,
src/app/components/AccordionDocumentation.tsx,14,a,--cvp-accordion-leading-icon-primary,,
src/app/components/AccordionDocumentation.tsx,14,a,--cvp-color-icon-brand,,
src/app/components/AccordionDocumentation.tsx,15,a,--cvp-accordion-trigger-height,,
src/app/components/AccordionDocumentation.tsx,15,a,--cvp-space-900,,
